epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,259.974,0.88604,2.4726,0.88312,0.00808,1,0.57812,0.29289,1.05977,3.38189,0.88519,0.00038,0.00038,0.00038
1,459.251,1.0297,2.6271,0.98618,1,0.07131,0.51882,0.27415,1.06003,3.42594,0.86198,0.00065,0.00065,0.00065
2,549.489,0.93146,1.43327,0.9187,1,0.07814,0.24406,0.17853,1.1535,3.29994,0.87906,0.00070278,0.00070278,0.00070278
3,4346.81,0.93111,1.39184,0.92616,1,0.04164,0.67234,0.46218,1.11557,3.02384,0.88943,0.00094636,0.00094636,0.00094636
2,4540.56,1.13444,1.70258,0.99304,1,0.38771,0.80841,0.56908,1.0793,2.66869,0.88503,0.00105597,0.00105597,0.00105597
4,6819.67,1.2428,1.98788,1.14498,0.69895,0.23941,0.43831,0.25717,1.48858,2.95624,1.19541,0.00111074,0.00111074,0.00111074
5,7193.3,2.93303,5.2952,2.27438,0.00275,0.34021,0.00266,0.0014,1.68998,4.04769,1.40364,0.00119592,0.00119592,0.00119592
3,7168.2,3.0001,5.44456,2.29072,0.00483,0.59794,0.00981,0.00352,2.0299,4.43606,1.41206,0.00119793,0.00119793,0.00119793
6,7394.64,3.18761,5.08743,2.35351,0.00217,0.26804,0.00149,0.00071,1.88282,4.26671,1.53246,0.00101,0.00101,0.00101
4,7460.36,3.23546,5.32017,2.39438,0.00375,0.46392,0.0035,0.00111,2.38367,4.92947,1.58541,0.000812,0.000812,0.000812
7,7591.1,3.12889,5.14671,2.28939,0.00108,0.13402,0.00078,0.00024,1.93802,4.36487,1.39017,0.000812,0.000812,0.000812
8,7784.21,3.09621,5.01836,2.2449,0.002,0.24742,0.00131,0.0006,1.95872,4.23931,1.49904,0.000614,0.000614,0.000614
5,7750,3.20724,5.1378,2.31509,0.004,0.49485,0.02341,0.01562,2.49379,4.72163,1.58281,0.000416,0.000416,0.000416
9,7944.54,3.14707,5.05553,2.3027,0.00275,0.34021,0.0022,0.00102,2.01555,4.08245,1.84156,0.000416,0.000416,0.000416
10,8076.99,3.07161,4.88108,2.20141,0.00283,0.35052,0.00252,0.00124,2.00207,4.05482,1.6958,0.000218,0.000218,0.000218
